Class,Precision,Recall,F1-Score,Support,Accuracy
Class_00,0.9868421052631579,1.0,0.9933774834437086,150,1.0
Class_01,0.9210526315789473,0.9333333333333333,0.9271523178807947,150,0.9333333333333333
Class_02,0.8392857142857143,0.94,0.8867924528301887,150,0.94
Class_03,0.8441558441558441,0.8666666666666667,0.8552631578947368,150,0.8666666666666667
Class_04,0.8609271523178808,0.8666666666666667,0.8637873754152824,150,0.8666666666666667
Class_05,0.8314606741573034,0.9866666666666667,0.9024390243902439,150,0.9866666666666667
Class_06,1.0,0.9130434782608695,0.9545454545454546,23,0.9130434782608695
Class_07,0.8390804597701149,0.9733333333333334,0.9012345679012346,150,0.9733333333333334
Class_08,0.9848484848484849,1.0,0.9923664122137404,130,1.0
Class_09,0.8455882352941176,0.7666666666666667,0.8041958041958042,150,0.7666666666666667
Class_10,0.7909604519774012,0.9333333333333333,0.8562691131498471,150,0.9333333333333333
Class_11,0.917910447761194,0.82,0.8661971830985915,150,0.82
Class_12,0.8333333333333334,0.8666666666666667,0.8496732026143791,150,0.8666666666666667
Class_13,0.8857142857142857,0.8266666666666667,0.8551724137931035,150,0.8266666666666667
Class_14,0.9041095890410958,0.88,0.8918918918918919,150,0.88
Class_15,0.8011695906432749,0.9133333333333333,0.8535825545171339,150,0.9133333333333333
Class_16,0.8260869565217391,0.8866666666666667,0.8553054662379421,150,0.8866666666666667
Class_17,0.8931297709923665,0.78,0.8327402135231317,150,0.78
Class_18,0.8848920863309353,0.82,0.8512110726643599,150,0.82
Class_19,0.7554347826086957,0.9266666666666666,0.8323353293413174,150,0.9266666666666666
Class_20,0.8392857142857143,0.94,0.8867924528301887,150,0.94
Class_21,0.9264705882352942,0.84,0.8811188811188811,150,0.84
Class_22,0.853448275862069,0.66,0.7443609022556391,150,0.66
Class_23,0.891156462585034,0.8733333333333333,0.8821548821548821,300,0.8733333333333333
Class_24,0.8235294117647058,0.7466666666666667,0.7832167832167832,150,0.7466666666666667
Class_25,0.7885714285714286,0.92,0.8492307692307692,150,0.92
Class_26,0.7526881720430108,0.9333333333333333,0.8333333333333334,150,0.9333333333333333
Class_27,0.95,0.8866666666666667,0.9172413793103448,150,0.8866666666666667
Class_28,0.8444444444444444,0.76,0.8,150,0.76
Class_29,0.8950617283950617,0.9666666666666667,0.9294871794871795,150,0.9666666666666667
Class_30,0.7986577181208053,0.7933333333333333,0.7959866220735786,150,0.7933333333333333
Class_31,0.8372093023255814,0.72,0.7741935483870968,150,0.72
Class_32,0.921875,0.7866666666666666,0.8489208633093526,150,0.7866666666666666
Class_33,0.8938053097345132,0.6733333333333333,0.7680608365019012,150,0.6733333333333333
Class_34,0.8245614035087719,0.6266666666666667,0.7121212121212122,150,0.6266666666666667
Class_35,0.725609756097561,0.7933333333333333,0.7579617834394905,150,0.7933333333333333
Class_36,0.8559322033898306,0.6733333333333333,0.753731343283582,150,0.6733333333333333
Class_37,0.7650273224043715,0.9333333333333333,0.8408408408408409,150,0.9333333333333333
