Class,Precision,Recall,F1-Score,Support,Accuracy
Class_00,0.9933774834437086,1.0,0.9966777408637874,150,1.0
Class_01,0.9433962264150944,1.0,0.970873786407767,150,1.0
Class_02,0.9536423841059603,0.96,0.9568106312292359,150,0.96
Class_03,0.9470198675496688,0.9533333333333334,0.9501661129568106,150,0.9533333333333334
Class_04,0.9074074074074074,0.98,0.9423076923076923,150,0.98
Class_05,0.9539473684210527,0.9666666666666667,0.9602649006622517,150,0.9666666666666667
Class_06,0.92,1.0,0.9583333333333334,23,1.0
Class_07,0.9470198675496688,0.9533333333333334,0.9501661129568106,150,0.9533333333333334
Class_08,1.0,0.9846153846153847,0.9922480620155039,130,0.9846153846153847
Class_09,0.971830985915493,0.92,0.9452054794520548,150,0.92
Class_10,0.8662790697674418,0.9933333333333333,0.9254658385093167,150,0.9933333333333333
Class_11,0.9411764705882353,0.96,0.9504950495049505,150,0.96
Class_12,0.9363057324840764,0.98,0.9576547231270358,150,0.98
Class_13,0.8853503184713376,0.9266666666666666,0.9055374592833876,150,0.9266666666666666
Class_14,0.9192546583850931,0.9866666666666667,0.9517684887459807,150,0.9866666666666667
Class_15,0.9177215189873418,0.9666666666666667,0.9415584415584416,150,0.9666666666666667
Class_16,0.9079754601226994,0.9866666666666667,0.9456869009584664,150,0.9866666666666667
Class_17,0.9555555555555556,0.86,0.9052631578947369,150,0.86
Class_18,0.9261744966442953,0.92,0.9230769230769231,150,0.92
Class_19,0.9310344827586207,0.9,0.9152542372881356,150,0.9
Class_20,0.9539473684210527,0.9666666666666667,0.9602649006622517,150,0.9666666666666667
Class_21,0.934640522875817,0.9533333333333334,0.9438943894389439,150,0.9533333333333334
Class_22,0.950354609929078,0.8933333333333333,0.9209621993127147,150,0.8933333333333333
Class_23,0.9629629629629629,0.9533333333333334,0.9581239530988275,300,0.9533333333333334
Class_24,0.922077922077922,0.9466666666666667,0.9342105263157895,150,0.9466666666666667
Class_25,0.896774193548387,0.9266666666666666,0.9114754098360656,150,0.9266666666666666
Class_26,0.9470198675496688,0.9533333333333334,0.9501661129568106,150,0.9533333333333334
Class_27,0.9928057553956835,0.92,0.9550173010380623,150,0.92
Class_28,0.9318181818181818,0.82,0.8723404255319149,150,0.82
Class_29,0.9294871794871795,0.9666666666666667,0.9477124183006536,150,0.9666666666666667
Class_30,0.8930817610062893,0.9466666666666667,0.919093851132686,150,0.9466666666666667
Class_31,0.9568345323741008,0.8866666666666667,0.9204152249134948,150,0.8866666666666667
Class_32,0.9103448275862069,0.88,0.8949152542372881,150,0.88
Class_33,0.9078947368421053,0.92,0.9139072847682119,150,0.92
Class_34,0.9624060150375939,0.8533333333333334,0.9045936395759717,150,0.8533333333333334
Class_35,0.9436619718309859,0.8933333333333333,0.9178082191780822,150,0.8933333333333333
Class_36,1.0,0.9,0.9473684210526315,150,0.9
Class_37,0.958904109589041,0.9333333333333333,0.9459459459459459,150,0.9333333333333333
