Rank,learning_rate,batch_size,kernel_size,padding,num_epochs,optimizer,Train_Acc,Val_Acc,Test_Acc,Epochs,Params
1,0.001,128,5,1,30,adam,0.9183013904547163,0.9750964573833742,0.9708925127126073,21,1310822
2,0.0005,64,5,0,30,adam,0.9073656520105223,0.9747457032620134,0.9740487462738909,23,1310822
3,0.005,32,5,0,20,sgd,0.9697482149567832,0.9743949491406524,0.971418551639488,20,1310822
4,0.001,64,5,1,20,adam,0.8712514092446448,0.9729919326552087,0.9747501315097317,20,1310822
5,0.001,32,3,0,20,adam,0.9019917324314167,0.9726411785338478,0.9707171664036472,16,1310822
6,0.0005,32,5,0,30,adam,0.8615933859451335,0.9722904244124868,0.9733473610380502,20,1310822
7,0.0005,64,3,0,20,adam,0.8820368282600526,0.9722904244124868,0.9707171664036472,20,1310822
8,0.005,32,5,0,30,sgd,0.977903043968433,0.9721150473518064,0.9700157811678064,25,1310822
9,0.005,32,5,1,30,sgd,0.9710635099586622,0.9719396702911259,0.9728213221111696,21,1310822
10,0.005,64,3,1,20,sgd,0.9686583990980834,0.9719396702911259,0.9721199368753288,20,1310822
11,0.001,32,3,0,30,adam,0.929988726042841,0.9719396702911259,0.9680869717692443,24,1310822
12,0.001,32,5,1,30,adam,0.93836903419767,0.9712381620484041,0.9721199368753288,22,1310822
13,0.001,64,5,1,30,adam,0.8805712138293874,0.9710627849877236,0.9717692442574084,19,1310822
14,0.001,128,5,0,20,adam,0.8996242014280346,0.9710627849877236,0.969665088549886,20,1310822
15,0.005,32,3,1,30,sgd,0.9685080796692973,0.9707120308663627,0.9677362791513239,19,1310822
16,0.0005,128,5,0,30,adam,0.9445697106350995,0.9705366538056822,0.9740487462738909,25,1310822
17,0.001,32,3,1,20,adam,0.8680195415257422,0.9703612767450017,0.9668595476065229,20,1310822
18,0.001,64,3,0,30,adam,0.908868846298384,0.9700105226236408,0.9710678590215676,19,1310822
19,0.0005,64,5,0,15,adam,0.8820744081172491,0.9700105226236408,0.9679116254602841,15,1310822
20,0.001,32,3,0,15,adam,0.8762119503945885,0.9698351455629604,0.9712432053305278,15,1310822
21,0.001,32,3,1,30,adam,0.9034573468620819,0.9698351455629604,0.9698404348588462,21,1310822
22,0.001,128,3,0,20,adam,0.7992484028560691,0.9698351455629604,0.9710678590215676,20,1310822
23,0.0001,32,5,0,20,adam,0.9415257422021797,0.9698351455629604,0.9700157811678064,20,1310822
24,0.0001,32,5,0,30,adam,0.9472378804960541,0.9691336373202385,0.9703664737857268,24,1310822
25,0.005,64,5,0,20,sgd,0.966140548665915,0.9687828831988776,0.9663335086796423,20,1310822
26,0.0005,64,3,1,20,adam,0.8258549417512213,0.9684321290775166,0.9694897422409259,20,1310822
27,0.0001,32,3,0,30,adam,0.9472378804960541,0.9684321290775166,0.9693143959319657,27,1310822
28,0.005,128,3,1,30,sgd,0.974445697106351,0.9682567520168363,0.9665088549886025,28,1310822
29,0.005,128,3,0,20,sgd,0.9610296880871853,0.9680813749561558,0.9673855865334035,20,1310822
30,0.005,32,3,1,20,sgd,0.964825253664036,0.9679059978954753,0.969665088549886,17,1310822
31,0.005,128,3,1,20,adam,0.8800450958286359,0.9677306208347948,0.9666842012975627,20,1310822
32,0.0005,64,5,1,15,adam,0.8620819240886884,0.9677306208347948,0.9651060845169209,15,1310822
33,0.001,64,3,1,20,adam,0.805261180007516,0.9673798667134339,0.968788357005085,19,1310822
34,0.001,64,3,0,20,adam,0.9067267944381812,0.9672044896527534,0.9666842012975627,17,1310822
35,0.0005,128,3,1,20,adam,0.8588500563697858,0.9672044896527534,0.9647553918990005,20,1310822
36,0.005,32,3,0,20,sgd,0.9715520481022172,0.9668537355313925,0.9677362791513239,20,1310822
37,0.005,128,5,1,20,sgd,0.9594513340849304,0.9668537355313925,0.9666842012975627,20,1310822
38,0.001,64,3,1,30,adam,0.866065388951522,0.9668537355313925,0.9652814308258811,19,1310822
39,0.005,128,3,1,15,sgd,0.9456219466366028,0.9665029814100315,0.9677362791513239,15,1310822
40,0.001,64,5,0,20,adam,0.8693348365276212,0.966327604349351,0.9666842012975627,20,1310822
41,0.0001,32,5,1,30,adam,0.9390454716272079,0.966327604349351,0.9637033140452393,24,1310822
42,0.0001,64,3,0,30,adam,0.9580608793686584,0.966327604349351,0.96422935297212,30,1310822
43,0.005,64,5,0,30,sgd,0.9645621946636603,0.9661522272886707,0.9665088549886025,20,1310822
44,0.001,64,5,0,15,adam,0.825479143179256,0.9661522272886707,0.9633526214273189,15,1310822
