Class,Precision,Recall,F1-Score,Support
Class_00,1.0,1.0,1.0,150
Class_01,0.9615384615384616,1.0,0.9803921568627451,150
Class_02,0.967741935483871,1.0,0.9836065573770492,150
Class_03,0.9932432432432432,0.98,0.9865771812080537,150
Class_04,0.9490445859872612,0.9933333333333333,0.9706840390879479,150
Class_05,0.98,0.98,0.98,150
Class_06,0.875,0.9130434782608695,0.8936170212765957,23
Class_07,0.9738562091503268,0.9933333333333333,0.9834983498349835,150
Class_08,0.9844961240310077,0.9769230769230769,0.9806949806949807,130
Class_09,0.9861111111111112,0.9466666666666667,0.9659863945578231,150
Class_10,0.9551282051282052,0.9933333333333333,0.9738562091503268,150
Class_11,0.9867549668874173,0.9933333333333333,0.9900332225913622,150
Class_12,0.9554140127388535,1.0,0.9771986970684039,150
Class_13,0.9668874172185431,0.9733333333333334,0.9700996677740864,150
Class_14,0.9738562091503268,0.9933333333333333,0.9834983498349835,150
Class_15,0.9795918367346939,0.96,0.9696969696969697,150
Class_16,0.9612903225806452,0.9933333333333333,0.9770491803278688,150
Class_17,0.9863945578231292,0.9666666666666667,0.9764309764309764,150
Class_18,0.9931506849315068,0.9666666666666667,0.9797297297297297,150
Class_19,0.96,0.96,0.96,150
Class_20,0.9867549668874173,0.9933333333333333,0.9900332225913622,150
Class_21,0.961038961038961,0.9866666666666667,0.9736842105263158,150
Class_22,0.958904109589041,0.9333333333333333,0.9459459459459459,150
Class_23,0.9965753424657534,0.97,0.9831081081081081,300
Class_24,0.959731543624161,0.9533333333333334,0.9565217391304348,150
Class_25,0.9545454545454546,0.98,0.9671052631578947,150
Class_26,0.9673202614379085,0.9866666666666667,0.976897689768977,150
Class_27,0.9928057553956835,0.92,0.9550173010380623,150
Class_28,0.9856115107913669,0.9133333333333333,0.9480968858131488,150
Class_29,0.9487179487179487,0.9866666666666667,0.9673202614379085,150
Class_30,0.9367088607594937,0.9866666666666667,0.961038961038961,150
Class_31,0.9602649006622517,0.9666666666666667,0.9634551495016611,150
Class_32,0.9863013698630136,0.96,0.972972972972973,150
Class_33,0.9797297297297297,0.9666666666666667,0.9731543624161074,150
Class_34,0.9712230215827338,0.9,0.9342560553633218,150
Class_35,0.9411764705882353,0.96,0.9504950495049505,150
Class_36,0.9856115107913669,0.9133333333333333,0.9480968858131488,150
Class_37,0.9426751592356688,0.9866666666666667,0.9641693811074918,150
