Class,Precision,Recall,F1-Score,Support
Class_00,1.0,1.0,1.0,150
Class_01,0.9493670886075949,1.0,0.974025974025974,150
Class_02,0.9423076923076923,0.98,0.9607843137254902,150
Class_03,0.9536423841059603,0.96,0.9568106312292359,150
Class_04,0.9363057324840764,0.98,0.9576547231270358,150
Class_05,0.934640522875817,0.9533333333333334,0.9438943894389439,150
Class_06,0.8214285714285714,1.0,0.9019607843137255,23
Class_07,0.93125,0.9933333333333333,0.9612903225806452,150
Class_08,1.0,0.9615384615384616,0.9803921568627451,130
Class_09,0.9846153846153847,0.8533333333333334,0.9142857142857143,150
Class_10,0.9074074074074074,0.98,0.9423076923076923,150
Class_11,0.9659863945578231,0.9466666666666667,0.9562289562289562,150
Class_12,0.9419354838709677,0.9733333333333334,0.9573770491803278,150
Class_13,0.9338235294117647,0.8466666666666667,0.8881118881118881,150
Class_14,0.9781021897810219,0.8933333333333333,0.9337979094076655,150
Class_15,0.9635036496350365,0.88,0.9198606271777003,150
Class_16,0.9030303030303031,0.9933333333333333,0.946031746031746,150
Class_17,0.9315068493150684,0.9066666666666666,0.918918918918919,150
Class_18,0.9383561643835616,0.9133333333333333,0.9256756756756757,150
Class_19,0.9256756756756757,0.9133333333333333,0.9194630872483222,150
Class_20,0.9594594594594594,0.9466666666666667,0.9530201342281879,150
Class_21,0.9452054794520548,0.92,0.9324324324324325,150
Class_22,0.8895705521472392,0.9666666666666667,0.9265175718849841,150
Class_23,0.9666666666666667,0.9666666666666667,0.9666666666666667,300
Class_24,0.934640522875817,0.9533333333333334,0.9438943894389439,150
Class_25,0.9455782312925171,0.9266666666666666,0.936026936026936,150
Class_26,0.935064935064935,0.96,0.9473684210526315,150
Class_27,1.0,0.8866666666666667,0.9399293286219081,150
Class_28,0.8313253012048193,0.92,0.8734177215189873,150
Class_29,0.94,0.94,0.94,150
Class_30,0.8862275449101796,0.9866666666666667,0.9337539432176656,150
Class_31,0.8993288590604027,0.8933333333333333,0.8963210702341137,150
Class_32,0.9266666666666666,0.9266666666666666,0.9266666666666666,150
Class_33,0.9319727891156463,0.9133333333333333,0.9225589225589226,150
Class_34,0.9784172661870504,0.9066666666666666,0.9411764705882353,150
Class_35,0.9574468085106383,0.9,0.9278350515463918,150
Class_36,0.9230769230769231,0.88,0.9010238907849829,150
Class_37,0.9125,0.9733333333333334,0.9419354838709677,150
