Rank,learning_rate,batch_size,hidden_sizes,dropout,num_epochs,optimizer,Train_Acc,Val_Acc,Test_Acc,Epochs,Params
1,0.001,64,"[256, 128]",0.1,30,adam,0.7505073280721534,0.7314977200982111,0.7269857969489742,30,730278
2,0.005,64,"[256, 128]",0.1,30,sgd,0.7484404359263435,0.7072956857243072,0.6922672277748554,30,730278
3,0.0005,32,"[512, 256, 128]",0.1,30,adam,0.7372040586245773,0.6995790950543669,0.6936699982465369,30,1554086
4,0.005,32,"[256, 128]",0.1,20,sgd,0.6922585494175122,0.694317783233953,0.680343678765562,20,730278
5,0.001,128,"[256, 128]",0.1,30,adam,0.7362645621946636,0.6923886355664679,0.6842012975626863,30,730278
6,0.001,64,"[512, 256, 128]",0.1,30,adam,0.7217211574596016,0.6887057172921782,0.6856040680343679,30,1554086
7,0.0005,64,"[256, 128]",0.1,30,adam,0.7505824877865465,0.6843212907751666,0.680343678765562,30,730278
8,0.005,32,"[256, 128]",0.1,30,sgd,0.718977827884254,0.679936864258155,0.6761353673505173,25,730278
9,0.005,32,"[512, 256, 128]",0.1,30,sgd,0.700826756858324,0.6718695194668537,0.6605295458530598,25,1554086
10,0.0005,64,"[512, 256, 128]",0.1,30,adam,0.7272453964674934,0.670817257102771,0.658951429072418,30,1554086
11,0.001,64,"[256, 128]",0.1,20,adam,0.6888763622698234,0.6690634864959664,0.6706996317727512,20,730278
12,0.0005,32,"[256, 128]",0.1,20,adam,0.6801202555430289,0.6639775517362329,0.6615816237068209,20,730278
13,0.0005,128,"[256, 128]",0.2,30,adam,0.6773017662532882,0.6638021746755525,0.6615816237068209,30,730278
14,0.0005,64,"[256, 128]",0.2,30,adam,0.661292747087561,0.6608207646439845,0.6521129230229704,30,730278
15,0.0005,32,"[256, 128]",0.1,30,adam,0.7236753100338219,0.6581901087337776,0.6582500438365773,28,730278
16,0.0005,64,"[1024, 512, 256, 128]",0.1,30,adam,0.6786922209695603,0.6560855840056121,0.6557951955111345,30,3463846
17,0.001,32,"[256, 128]",0.1,30,adam,0.7329575347613679,0.6548579445808488,0.6529896545677714,30,730278
18,0.0001,32,"[1024, 512, 256, 128]",0.2,30,adam,0.6771890266816986,0.6546825675201684,0.6519375767140102,30,3463846
19,0.0005,128,"[256, 128]",0.1,30,adam,0.6989477639984968,0.6532795510347247,0.6514115377871296,30,730278
20,0.001,128,"[256, 128]",0.2,30,adam,0.6299887260428411,0.6513504033672396,0.6484306505348062,30,730278
21,0.0005,64,"[512, 256, 128]",0.2,30,adam,0.657271702367531,0.6506488951245177,0.6531650008767316,30,1554086
22,0.001,32,"[256, 128]",0.1,20,adam,0.6854941751221345,0.6490705015783935,0.6372084867613537,20,730278
23,0.005,32,"[512, 256, 128]",0.1,20,sgd,0.647576099210823,0.641704665029814,0.6438716465018411,20,1554086
24,0.0005,128,"[512, 256, 128]",0.1,30,adam,0.6902292371288989,0.6350403367239565,0.6386112572330352,27,1554086
25,0.0005,32,"[1024, 512, 256, 128]",0.1,30,adam,0.6701615933859452,0.6331111890564715,0.6298439417850255,30,3463846
26,0.0005,128,"[256, 128]",0.2,20,adam,0.6093198045847426,0.6324096808137496,0.6328248290373487,20,730278
27,0.0005,64,"[512, 256, 128]",0.2,20,adam,0.621608417888012,0.6320589266923886,0.6417674907943188,20,1554086
28,0.001,128,"[512, 256, 128]",0.1,30,adam,0.684968057121383,0.6308312872676254,0.630369980711906,28,1554086
29,0.001,128,"[512, 256, 128]",0.1,20,adam,0.6517098835024427,0.6306559102069449,0.6230054357355778,20,1554086
30,0.005,64,"[512, 256, 128]",0.1,30,sgd,0.6977076287110109,0.6304805331462645,0.6275644397685429,30,1554086
