Class,Precision,Recall,F1-Score,Support,Accuracy
Class_00,0.9202898550724637,0.8466666666666667,0.8819444444444444,150,0.8466666666666667
Class_01,0.6993865030674846,0.76,0.7284345047923323,150,0.76
Class_02,0.5956521739130435,0.9133333333333333,0.7210526315789474,150,0.9133333333333333
Class_03,0.796875,0.68,0.7338129496402878,150,0.68
Class_04,0.823076923076923,0.7133333333333334,0.7642857142857142,150,0.7133333333333334
Class_05,0.7431693989071039,0.9066666666666666,0.8168168168168168,150,0.9066666666666666
Class_06,0.8,0.6956521739130435,0.7441860465116279,23,0.6956521739130435
Class_07,0.6919191919191919,0.9133333333333333,0.7873563218390804,150,0.9133333333333333
Class_08,0.9473684210526315,0.9692307692307692,0.9581749049429658,130,0.9692307692307692
Class_09,0.6094674556213018,0.6866666666666666,0.64576802507837,150,0.6866666666666666
Class_10,0.6505376344086021,0.8066666666666666,0.7202380952380952,150,0.8066666666666666
Class_11,0.6626506024096386,0.7333333333333333,0.6962025316455697,150,0.7333333333333333
Class_12,0.6780487804878049,0.9266666666666666,0.7830985915492957,150,0.9266666666666666
Class_13,0.7238805970149254,0.6466666666666666,0.6830985915492958,150,0.6466666666666666
Class_14,0.6687898089171974,0.7,0.6840390879478827,150,0.7
Class_15,0.7927927927927928,0.5866666666666667,0.6743295019157088,150,0.5866666666666667
Class_16,0.7272727272727273,0.7466666666666667,0.7368421052631579,150,0.7466666666666667
Class_17,0.8201438848920863,0.76,0.7889273356401384,150,0.76
Class_18,0.7019867549668874,0.7066666666666667,0.7043189368770764,150,0.7066666666666667
Class_19,0.7612903225806451,0.7866666666666666,0.7737704918032787,150,0.7866666666666666
Class_20,0.8145161290322581,0.6733333333333333,0.7372262773722628,150,0.6733333333333333
Class_21,0.8867924528301887,0.6266666666666667,0.734375,150,0.6266666666666667
Class_22,0.6716417910447762,0.6,0.6338028169014085,150,0.6
Class_23,0.8061538461538461,0.8733333333333333,0.8384,300,0.8733333333333333
Class_24,0.618421052631579,0.6266666666666667,0.6225165562913907,150,0.6266666666666667
Class_25,0.6742857142857143,0.7866666666666666,0.7261538461538461,150,0.7866666666666666
Class_26,0.689873417721519,0.7266666666666667,0.7077922077922078,150,0.7266666666666667
Class_27,0.75,0.7,0.7241379310344828,150,0.7
Class_28,0.7043478260869566,0.54,0.6113207547169811,150,0.54
Class_29,0.7175141242937854,0.8466666666666667,0.7767584097859327,150,0.8466666666666667
Class_30,0.6626506024096386,0.7333333333333333,0.6962025316455697,150,0.7333333333333333
Class_31,0.8837209302325582,0.5066666666666667,0.6440677966101694,150,0.5066666666666667
Class_32,0.7588652482269503,0.7133333333333334,0.7353951890034365,150,0.7133333333333334
Class_33,0.6686390532544378,0.7533333333333333,0.7084639498432602,150,0.7533333333333333
Class_34,0.6412213740458015,0.56,0.597864768683274,150,0.56
Class_35,0.65,0.6933333333333334,0.6709677419354839,150,0.6933333333333334
Class_36,0.8369565217391305,0.5133333333333333,0.6363636363636364,150,0.5133333333333333
Class_37,0.7745098039215687,0.5266666666666666,0.626984126984127,150,0.5266666666666666
