Class,Precision,Recall,F1-Score,Support,Accuracy
Class_00,0.5581395348837209,0.96,0.7058823529411765,150,0.96
Class_01,0.43506493506493504,0.44666666666666666,0.4407894736842105,150,0.44666666666666666
Class_02,0.40604026845637586,0.8066666666666666,0.5401785714285714,150,0.8066666666666666
Class_03,0.3536977491961415,0.7333333333333333,0.4772234273318872,150,0.7333333333333333
Class_04,0.6153846153846154,0.37333333333333335,0.46473029045643155,150,0.37333333333333335
Class_05,0.6592592592592592,0.5933333333333334,0.624561403508772,150,0.5933333333333334
Class_06,0.6785714285714286,0.8260869565217391,0.7450980392156863,23,0.8260869565217391
Class_07,0.5722543352601156,0.66,0.6130030959752322,150,0.66
Class_08,0.967741935483871,0.9230769230769231,0.9448818897637795,130,0.9230769230769231
Class_09,0.5,0.35333333333333333,0.4140625,150,0.35333333333333333
Class_10,0.5537190082644629,0.44666666666666666,0.4944649446494465,150,0.44666666666666666
Class_11,0.3594306049822064,0.6733333333333333,0.46867749419953597,150,0.6733333333333333
Class_12,0.5365853658536586,0.29333333333333333,0.3793103448275862,150,0.29333333333333333
Class_13,0.6666666666666666,0.25333333333333335,0.3671497584541063,150,0.25333333333333335
Class_14,0.5279187817258884,0.6933333333333334,0.5994236311239193,150,0.6933333333333334
Class_15,0.6774193548387096,0.14,0.23204419889502761,150,0.14
Class_16,0.5301204819277109,0.5866666666666667,0.5569620253164557,150,0.5866666666666667
Class_17,0.6382978723404256,0.4,0.4918032786885246,150,0.4
Class_18,0.4322033898305085,0.34,0.3805970149253731,150,0.34
Class_19,0.6419753086419753,0.3466666666666667,0.45021645021645024,150,0.3466666666666667
Class_20,0.39747634069400634,0.84,0.5396145610278372,150,0.84
Class_21,0.5918367346938775,0.58,0.5858585858585859,150,0.58
Class_22,0.3619047619047619,0.25333333333333335,0.2980392156862745,150,0.25333333333333335
Class_23,0.6875,0.44,0.5365853658536586,300,0.44
Class_24,0.3193717277486911,0.4066666666666667,0.35777126099706746,150,0.4066666666666667
Class_25,0.5631067961165048,0.38666666666666666,0.45849802371541504,150,0.38666666666666666
Class_26,0.6764705882352942,0.30666666666666664,0.42201834862385323,150,0.30666666666666664
Class_27,0.717391304347826,0.66,0.6875,150,0.66
Class_28,0.3446327683615819,0.4066666666666667,0.3730886850152905,150,0.4066666666666667
Class_29,0.75,0.7,0.7241379310344828,150,0.7
Class_30,0.4473684210526316,0.5666666666666667,0.5,150,0.5666666666666667
Class_31,0.5757575757575758,0.5066666666666667,0.5390070921985816,150,0.5066666666666667
Class_32,0.5967741935483871,0.49333333333333335,0.5401459854014599,150,0.49333333333333335
Class_33,0.5333333333333333,0.5333333333333333,0.5333333333333333,150,0.5333333333333333
Class_34,0.3412698412698413,0.5733333333333334,0.42786069651741293,150,0.5733333333333334
Class_35,0.37799043062200954,0.5266666666666666,0.4401114206128134,150,0.5266666666666666
Class_36,0.41975308641975306,0.22666666666666666,0.2943722943722944,150,0.22666666666666666
Class_37,0.5185185185185185,0.28,0.36363636363636365,150,0.28
