Rank,learning_rate,batch_size,num_epochs,freeze_layers,dropout,Train_Acc,Val_Acc,Test_Acc,Epochs,Params
1,0.001,32,15,2,0.3,0.9686583990980834,0.9459838653104174,0.9388041381728914,14,15337968
2,0.001,32,20,2,0.3,0.9723036452461481,0.9442300947036127,0.9345958267578467,14,15337968
3,0.001,64,20,2,0.3,0.9653889515219842,0.9370396352157138,0.9370506750832895,11,15337968
4,0.001,64,15,2,0.3,0.9581360390830514,0.9279200280603297,0.9277573207083991,10,15337968
5,0.0001,64,20,2,0.3,0.97576099210823,0.9230094703612768,0.9149570401543048,11,15337968
6,0.0001,32,15,2,0.3,0.9713265689590379,0.9212556997544721,0.9184639663335087,11,15337968
7,0.0001,64,15,2,0.3,0.977903043968433,0.9137144861452122,0.9158337716991057,11,15337968
8,0.0001,32,20,2,0.3,0.9785419015407741,0.9100315678709224,0.9114501139751008,14,15337968
9,0.0001,32,20,4,0.3,0.38910184141300264,0.4686075061381971,0.45993336840259513,20,15337968
10,0.0001,64,20,4,0.3,0.40071401728673434,0.46843212907751663,0.4564264422233912,20,15337968
11,0.0001,32,15,4,0.3,0.3813603908305148,0.4638723254998246,0.4550236717517096,15,15337968
12,0.001,64,20,4,0.3,0.3713641488162345,0.45475271834444053,0.43906715763633175,20,15337968
13,0.001,64,15,4,0.3,0.3702367531003382,0.4544019642230796,0.4501139751008241,15,15337968
14,0.0001,64,15,4,0.3,0.3874859075535513,0.4544019642230796,0.44941258986498334,15,15337968
15,0.001,32,15,4,0.3,0.3370161593385945,0.4468607506138197,0.4317026126600035,12,15337968
16,0.001,32,20,4,0.3,0.33829387448327697,0.4261662574535251,0.4220585656671927,16,15337968
